Repo,URL,File,Line,Type,Description
KayoRonald/euajudo-back-end,https://github.com/KayoRonald/euajudo-back-end.git,src/shared/http/server.ts,15,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
joaowinkelmann/finalflow-api,https://github.com/joaowinkelmann/finalflow-api.git,src/main.ts,11,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
iury-assuncao/voluntaria-tech-backend,https://github.com/iury-assuncao/voluntaria-tech-backend.git,src/index.ts,12,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
FelipeModena/trabalhante-base-api,https://github.com/FelipeModena/trabalhante-base-api.git,src/main.ts,7,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
brunokobi/tccbackend,https://github.com/brunokobi/tccbackend.git,src/server.ts,12,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
FelipeRodrigues1337/mybarber-backend,https://github.com/FelipeRodrigues1337/mybarber-backend.git,src/shared/infra/http/server.ts,19,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
ralfferreira/hexperience-api,https://github.com/ralfferreira/hexperience-api.git,src/shared/infra/http/server.ts,21,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
leonardo02lobo/Calcular-Indice-Academico-Backend,https://github.com/leonardo02lobo/Calcular-Indice-Academico-Backend.git,src/app.ts,9,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
Matheus-Merlos/Crassus-API,https://github.com/Matheus-Merlos/Crassus-API.git,src/main.ts,7,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
renanjava/testes-escola-de-TI,https://github.com/renanjava/testes-escola-de-TI.git,src/main.ts,9,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
YasArcher/back-economia,https://github.com/YasArcher/back-economia.git,src/app.ts,9,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
Herick2D/bot-academico,https://github.com/Herick2D/bot-academico.git,src/server.ts,11,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
luissavighago/chatbotAcademico-frontend,https://github.com/luissavighago/chatbotAcademico-frontend.git,src/app/components/home/header/header.component.ts,15,HARDCODED_SECRET,Potential hardcoded secret in property: apiKey
Trino11/TFG-Backend-API_REST,https://github.com/Trino11/TFG-Backend-API_REST.git,src/index.ts,53,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
Trino11/TFG-Backend_Auth-API_REST,https://github.com/Trino11/TFG-Backend_Auth-API_REST.git,src/index.ts,39,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
javier-gomariz-prats/PokeCore,https://github.com/javier-gomariz-prats/PokeCore.git,src/app/app.module.ts,43,HARDCODED_SECRET,Potential hardcoded secret in property: apiKey
javier-gomariz-prats/PokeCore,https://github.com/javier-gomariz-prats/PokeCore.git,src/app/app.module.ts,55,HARDCODED_SECRET,Potential hardcoded secret in property: apiKey
javier-gomariz-prats/PokeCore,https://github.com/javier-gomariz-prats/PokeCore.git,src/app/app.module.ts,62,HARDCODED_SECRET,Potential hardcoded secret in property: apiKey
LucasSeraggi/TFG-Backend,https://github.com/LucasSeraggi/TFG-Backend.git,src/app.ts,13,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
joaoecsde/kademlia_tese,https://github.com/joaoecsde/kademlia_tese.git,src/http/app.ts,35,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
nirewen/uni-auto,https://github.com/nirewen/uni-auto.git,apps/api/src/main.ts,38,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
Elian-beep/code-scratch-back,https://github.com/Elian-beep/code-scratch-back.git,src/server.ts,33,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
Luco97/stock-gql,https://github.com/Luco97/stock-gql.git,src/main.ts,9,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
guilhermeaugvieira/MarvelBD2,https://github.com/guilhermeaugvieira/MarvelBD2.git,src/Dados/Data-Source.ts,9,HARDCODED_SECRET,Potential hardcoded secret in property: password
guilhermeaugvieira/MarvelBD2,https://github.com/guilhermeaugvieira/MarvelBD2.git,src/API/Servidor.ts,9,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
denisquintasluiz/Fiscalizacao-aluno-ustp,https://github.com/denisquintasluiz/Fiscalizacao-aluno-ustp.git,server/app.ts,45,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
mwenyo/mb-eventos,https://github.com/mwenyo/mb-eventos.git,src/server.ts,117,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
mateusxxlima/fisio-backend,https://github.com/mateusxxlima/fisio-backend.git,src/main.ts,9,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
mateusxxlima/fisio-backend,https://github.com/mateusxxlima/fisio-backend.git,src/configs/typeorm.config.ts,7,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
mateusxxlima/fisio-backend,https://github.com/mateusxxlima/fisio-backend.git,src/auth/jwt.strategy.ts,11,HARDCODED_SECRET,Potential hardcoded secret in property: secretOrKey
mateusxxlima/fisio-backend,https://github.com/mateusxxlima/fisio-backend.git,src/auth/auth.module.ts,17,HARDCODED_SECRET,Potential hardcoded secret in property: secret
GustavoSantosCS/command-backend,https://github.com/GustavoSantosCS/command-backend.git,tests/domain/mock/usecases/create-session-usecase-spy.ts,8,HARDCODED_SECRET,Potential hardcoded secret in property: token
Sans-arch/gamehub-backend,https://github.com/Sans-arch/gamehub-backend.git,src/tests/services/userService.ts,94,HARDCODED_SECRET,Potential hardcoded secret in property: password
Sans-arch/gamehub-backend,https://github.com/Sans-arch/gamehub-backend.git,src/tests/services/userService.ts,109,HARDCODED_SECRET,Potential hardcoded secret in property: password
Jao-Rocha/onebitflix,https://github.com/Jao-Rocha/onebitflix.git,src/adminjs/locale.ts,50,HARDCODED_SECRET,Potential hardcoded secret in property: password
Jao-Rocha/onebitflix,https://github.com/Jao-Rocha/onebitflix.git,src/adminjs/authentication.ts,23,HARDCODED_SECRET,Potential hardcoded secret in property: cookiePassword
Jao-Rocha/onebitflix,https://github.com/Jao-Rocha/onebitflix.git,src/database/index.ts,9,HARDCODED_SECRET,Potential hardcoded secret in property: password
santialvarez0207/WorldLO,https://github.com/santialvarez0207/WorldLO.git,server/app.ts,17,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/user/memoryUserRepository.ts,15,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/user/memoryUserRepository.ts,31,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/user/memoryUserRepository.ts,47,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/user/memoryUserRepository.ts,63,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/event/memoryEventRepository.ts,32,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/event/memoryEventRepository.ts,68,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/event/memoryEventRepository.ts,104,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,46,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,84,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,120,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,141,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,168,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,209,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,245,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,283,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,304,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,320,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,338,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,380,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,401,HARDCODED_SECRET,Potential hardcoded secret in property: password
luissimas/pooa-grupos-academicos,https://github.com/luissimas/pooa-grupos-academicos.git,src/infra/repositories/academicGroup/memoryAcademicGroupRepository.ts,419,HARDCODED_SECRET,Potential hardcoded secret in property: password
Hyagobsantos/Api-LojaStarWars,https://github.com/Hyagobsantos/Api-LojaStarWars.git,src/auth/jwt.constants.ts,2,HARDCODED_SECRET,Potential hardcoded secret in property: secret
NessKawl/API_driveparts,https://github.com/NessKawl/API_driveparts.git,src/main.ts,7,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
NessKawl/API_driveparts,https://github.com/NessKawl/API_driveparts.git,src/auth/strategies/local.strategy.ts,11,HARDCODED_SECRET,Potential hardcoded secret in property: passwordField
GabrielMartinsDoliveira/Residencia_PD_25.2_backend,https://github.com/GabrielMartinsDoliveira/Residencia_PD_25.2_backend.git,src/data-source.ts,14,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
GabrielMartinsDoliveira/Residencia_PD_25.2_backend,https://github.com/GabrielMartinsDoliveira/Residencia_PD_25.2_backend.git,src/app.ts,18,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
qeitiof/securecel,https://github.com/qeitiof/securecel.git,src/app.ts,50,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
CarlosNiz/atividade-faculdade-backend,https://github.com/CarlosNiz/atividade-faculdade-backend.git,src/main.ts,6,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
diname/tech-challenge-fiap,https://github.com/diname/tech-challenge-fiap.git,src/main.ts,14,NESTJS_MASS_ASSIGNMENT,ValidationPipe missing 'whitelist: true'
diname/tech-challenge-fiap,https://github.com/diname/tech-challenge-fiap.git,src/shared/utils/initializers/cors.initializer.ts,4,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
diname/tech-challenge-fiap,https://github.com/diname/tech-challenge-fiap.git,src/infrastructure/typeorm/config/postgres.config.service.ts,21,DB_AUTO_SYNC,Database synchronization enabled (Risk of data loss)
diname/tech-challenge-fiap,https://github.com/diname/tech-challenge-fiap.git,src/domain/services/auth/auth.service.impl.ts,20,HARDCODED_SECRET,Potential hardcoded secret in property: tokenUse
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,src/server.ts,15,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,generated/prisma/internal/prismaNamespaceBrowser.ts,87,HARDCODED_SECRET,Potential hardcoded secret in property: password
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,generated/prisma/internal/prismaNamespaceBrowser.ts,96,HARDCODED_SECRET,Potential hardcoded secret in property: reset_token
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,generated/prisma/internal/prismaNamespaceBrowser.ts,97,HARDCODED_SECRET,Potential hardcoded secret in property: reset_token_expiry
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,generated/prisma/internal/prismaNamespace.ts,1200,HARDCODED_SECRET,Potential hardcoded secret in property: password
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,generated/prisma/internal/prismaNamespace.ts,1209,HARDCODED_SECRET,Potential hardcoded secret in property: reset_token
JhonyDomingos/backend-just-connect,https://github.com/JhonyDomingos/backend-just-connect.git,generated/prisma/internal/prismaNamespace.ts,1210,HARDCODED_SECRET,Potential hardcoded secret in property: reset_token_expiry
CyberNicky/customers-api,https://github.com/CyberNicky/customers-api.git,src/main.ts,6,INSECURE_CORS,Permissive CORS policy (Wildcard detected)
